"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment"
"1","OS","TSPAN6","ICB_Ravi__Lung__PD-L1",0.0452507956472319,0.124299051170413,125,0.715822318404252,"Lung","PD-L1"
"2","OS","TNMD","ICB_Ravi__Lung__PD-L1",0.00397270688179734,0.11831467963072,125,0.973214093351206,"Lung","PD-L1"
"3","OS","DPM1","ICB_Ravi__Lung__PD-L1",0.0241738742165448,0.11577267120535,125,0.834600726840048,"Lung","PD-L1"
"4","OS","SCYL3","ICB_Ravi__Lung__PD-L1",-0.0365742340399063,0.110135802756109,125,0.739826543589867,"Lung","PD-L1"
"5","OS","C1orf112","ICB_Ravi__Lung__PD-L1",0.0569042422897498,0.125427593745746,125,0.650057720229966,"Lung","PD-L1"
"6","OS","FGR","ICB_Ravi__Lung__PD-L1",-0.0986600241541616,0.124761214287601,125,0.429066062125832,"Lung","PD-L1"
