"Cancer_type","Gene","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval"
"Melanoma","CXCL9",-0.238052300033997,0.104530192207061,-0.442927712056885,-0.0331768880111086,0.0227650668922473,0.118460029578028,0.338122431244122
"Other","CXCL9",-0.262669430749731,0.0932203074492122,-0.445377875977938,-0.0799609855215239,0.004836482668839,0.0313442160123941,0.356165963632081
