"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment"
"OS","PRF1","ICB_small_Mariathasan",-0.169863767103608,0.0841542842348616,195,0.0435412610909239,"Bladder","PD-1/PD-L1"
"OS","SPINK5","ICB_small_Mariathasan",0.183379707914322,0.0917166116149361,195,0.0455633065653137,"Bladder","PD-1/PD-L1"
"OS","IFIT5","ICB_small_Mariathasan",-0.17597500468255,0.0881882860570308,195,0.0459942062252108,"Bladder","PD-1/PD-L1"
"OS","PTPRCAP","ICB_small_Mariathasan",-0.170087216620631,0.0867800587048484,195,0.0499980779278109,"Bladder","PD-1/PD-L1"
"OS","RPS6KA5","ICB_small_Mariathasan",-0.167174857772344,0.0868157911285151,195,0.0541509269620431,"Bladder","PD-1/PD-L1"
"OS","ANP32E","ICB_small_Mariathasan",-0.1696603386373,0.08801084879507,195,0.0538898708480994,"Bladder","PD-1/PD-L1"
"OS","RAB20","ICB_small_Mariathasan",-0.171000983588203,0.0894171330663763,195,0.0558253977631041,"Bladder","PD-1/PD-L1"
"OS","CXCL11","ICB_small_Mariathasan",-0.152464099508596,0.0799593706649947,195,0.0565504259013178,"Bladder","PD-1/PD-L1"
"OS","PLCL2","ICB_small_Mariathasan",-0.167778075795944,0.0893780068180356,195,0.0604942417685123,"Bladder","PD-1/PD-L1"
"OS","TAGAP","ICB_small_Mariathasan",-0.163544783548676,0.0867975412944934,195,0.0595365937134911,"Bladder","PD-1/PD-L1"
"OS","PPM1D","ICB_small_Mariathasan",-0.16152768510472,0.0854354691813079,195,0.0586724642878498,"Bladder","PD-1/PD-L1"
"OS","RAB11FIP4","ICB_small_Mariathasan",-0.158866310471978,0.0864513271084908,195,0.0661156517837283,"Bladder","PD-1/PD-L1"
"OS","GCNT4","ICB_small_Mariathasan",-0.161022598029411,0.0882335875648919,195,0.0680073564222522,"Bladder","PD-1/PD-L1"
"OS","CST7","ICB_small_Mariathasan",-0.15041351478314,0.0832835091550633,195,0.0709117805935175,"Bladder","PD-1/PD-L1"
"OS","MAST1","ICB_small_Mariathasan",-0.153623172918171,0.0847712248913328,195,0.0699539158299259,"Bladder","PD-1/PD-L1"
"OS","SLC9C1","ICB_small_Mariathasan",0.171043823101671,0.0950914122492931,195,0.0720613224920286,"Bladder","PD-1/PD-L1"
"OS","MYCL","ICB_small_Mariathasan",-0.147214560510492,0.0841893553938602,195,0.0803580214413822,"Bladder","PD-1/PD-L1"
"OS","FGD3","ICB_small_Mariathasan",-0.153121771454512,0.0878713354585036,195,0.0814091153663757,"Bladder","PD-1/PD-L1"
"OS","SELL","ICB_small_Mariathasan",-0.160003753942629,0.0916377521312287,195,0.0808029146142893,"Bladder","PD-1/PD-L1"
"OS","FBXO6","ICB_small_Mariathasan",-0.142275549003238,0.0829940186921365,195,0.0864760699967525,"Bladder","PD-1/PD-L1"
"OS","RAB11FIP1","ICB_small_Mariathasan",-0.1524570827784,0.0889561350928208,195,0.0865570819011278,"Bladder","PD-1/PD-L1"
"OS","NKG7","ICB_small_Mariathasan",-0.123581754754039,0.072537634516026,195,0.0884387281982765,"Bladder","PD-1/PD-L1"
"OS","PDGFA","ICB_small_Mariathasan",0.155458094141574,0.0940467595796685,195,0.0983334592149844,"Bladder","PD-1/PD-L1"
"OS","FJX1","ICB_small_Mariathasan",0.138391185813972,0.0865598743954894,195,0.109866952760274,"Bladder","PD-1/PD-L1"
"OS","NUB1","ICB_small_Mariathasan",-0.133928430334079,0.0895920767600699,195,0.134948598761521,"Bladder","PD-1/PD-L1"
"OS","SORCS2","ICB_small_Mariathasan",0.136047891827452,0.0943704320534858,195,0.149404848842209,"Bladder","PD-1/PD-L1"
"OS","SYK","ICB_small_Mariathasan",-0.124225417156426,0.0879174688258617,195,0.157662300237882,"Bladder","PD-1/PD-L1"
"OS","F2RL1","ICB_small_Mariathasan",0.131885385295244,0.0943438710868223,195,0.162136452119193,"Bladder","PD-1/PD-L1"
"OS","PRKCH","ICB_small_Mariathasan",-0.119375046558634,0.0879204946192983,195,0.174539433164854,"Bladder","PD-1/PD-L1"
"OS","RAB8A","ICB_small_Mariathasan",-0.114791908563368,0.0845874183117229,195,0.174755736501174,"Bladder","PD-1/PD-L1"
"OS","PCDHGB6","ICB_small_Mariathasan",0.119224162869883,0.0907619851960279,195,0.18898374559036,"Bladder","PD-1/PD-L1"
"OS","HPGD","ICB_small_Mariathasan",-0.116419783679649,0.08917019812545,195,0.19169177591665,"Bladder","PD-1/PD-L1"
"OS","LPAR1","ICB_small_Mariathasan",0.109746560091042,0.0858090068968835,195,0.200910023175993,"Bladder","PD-1/PD-L1"
"OS","DDI2","ICB_small_Mariathasan",-0.10570374756765,0.0869369210840836,195,0.224035528857664,"Bladder","PD-1/PD-L1"
"OS","KLHDC7B","ICB_small_Mariathasan",-0.100250351740155,0.0850842070400414,195,0.238697494246639,"Bladder","PD-1/PD-L1"
"OS","GALNT5","ICB_small_Mariathasan",0.0940862380033614,0.0929993397942001,195,0.311687656445655,"Bladder","PD-1/PD-L1"
"OS","ZHX3","ICB_small_Mariathasan",0.0803630685293088,0.0897181502192947,195,0.370397996991469,"Bladder","PD-1/PD-L1"
"OS","RAB42","ICB_small_Mariathasan",-0.0619405407762412,0.0755233164317863,195,0.412129901091737,"Bladder","PD-1/PD-L1"
"OS","SOX9","ICB_small_Mariathasan",0.0718786574471192,0.0888734297936082,195,0.418644259864708,"Bladder","PD-1/PD-L1"
