"Cancer_type","Gene","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval"
"Melanoma","CXCL9",-0.319130366967685,0.0664313650561392,-0.449333449921551,-0.18892728401382,1.55595993842589e-06,0.0824628374904823,0.35953411707597
"Other","CXCL9",-0.110250979825453,0.121229272417127,-0.347855987635017,0.127354027984111,0.363116913188896,0,0.936522478485166
