"","Pt1","Pt2","Pt39","Pt82","Pt49","Pt85","Pt101","Pt47","Pt52","Pt67","Pt79","Pt98","Pt65","Pt90","Pt103","Pt17","Pt38","Pt48","Pt36","Pt46","Pt26","Pt106","Pt34"
"CCL5-CXCL9_Dangaj",0.588712053576467,0.550079393585558,-0.580861840563379,0.116359447004603,0.654333036300114,-0.630656798961159,0.670352650518223,-0.361297923311421,-0.460783865537954,-0.0804039845329437,-0.302190064910665,-0.475602239482276,0.349755148049492,0.172247827580272,0.493388968883697,-0.703411311611643,-0.575460829493064,0.17569124423963,-0.506594571734632,0.58551913482135,-0.166173007312215,0.101382488479258,0.800691244239636
"Chemokine_Messina",0.666872824336853,0.59030172520009,-0.653934221353321,0.0745840504876676,0.703576432975595,-0.532922387223293,0.340681289375113,-0.625704019083835,-0.662995866404196,-0.211038773597886,-0.543265541474983,-0.106661387333367,0.391967485573306,0.58978085871732,0.649454962707978,-0.662418298856533,-0.539196678532909,0.126219162363747,-0.44472785771957,0.450543918611177,-0.0263912794033199,0.0757314974182476,0.69724251343765
"COX-IS_Bonavita",0.274952226229897,0.0613354778178951,0.302658970938498,0.218148634935292,0.103284844985921,-0.665901985812734,0.122828265969788,0.55057656909815,1.22104028956773,-0.972645262705004,-0.162102723291848,-0.547135176045242,0.139046256265278,0.872383990219023,-0.0251033586428134,0.310201438526063,1.06238541255838,0.440378809802339,-3.98228663348227,0.384547099562788,0.0319836913238323,0.0771497120344098,0.182273450144625
"CYT_Davoli",0.708476517754869,0.517754868270333,-0.542642540742753,-0.0927835051546357,0.676969920290929,-0.678694158075596,0.657502863688432,-0.607820649517082,-0.527226878291176,0.472508591065293,-0.201476756738935,-0.283505154639171,0.07872069647616,0.512027491408936,0.765750286368844,-0.752577319587623,-0.810423825887737,0.143041661992994,-0.724513172966776,0.383734249713633,-0.227411287133172,0.225085910652923,0.815005727376862
"CYT_Rooney",0.720731010850944,0.469446030839522,-0.616219303255314,-0.0868075385493901,0.753283837806967,-0.777841233580853,0.540262707024557,-0.67561393489437,-0.526556253569402,0.499714448886347,-0.261564820102801,-0.294688749286129,-0.239291833238141,0.576242147344373,0.655625356938896,-0.627070245573989,-0.700171330668225,0.196459166190753,-0.660194174757311,0.431182181610508,-0.350085665334108,0.541682948089812,0.915476870359795
"EMT_Thompson",-0.261719144432213,0.0448863365690431,-0.361829806903135,-0.131885590574599,0.0276747531752163,-0.422133606282928,0.817191580900921,-0.106852087238123,0.317725377877725,0.674955497779494,0.0570516119380847,0.156962494122636,0.135018542215529,0.108480557883466,0.187166786513879,-0.322888842551823,-0.714250106464615,0.221597553761406,0.334647444643603,0.00437901525851944,-0.0954876659911994,-0.227435909424771,-0.443254792776117
"EMTstroma_Wang",-0.257700114154252,0.0353475320101363,0.249017264136371,-0.270408038573714,0.270937251197023,0.165216814487809,-0.725358927457039,0.645941278065622,-0.159118509245168,-0.602332778152842,-0.396084990358586,-0.566745420024454,0.227031797745812,-0.447390428294413,0.151947931518118,-0.0195739781231995,0.33456681138159,-0.255589563025982,0.668609989644081,0.425912919159661,0.155060486760034,0.310865719451155,0.119267958259526
"IFN_Ayers",0.960056181449714,1.0325682098773,-2.02422957446423,0.304985035259537,1.30307696007049,-1.14709182125309,1.05905537831815,0.419254717723374,-0.45224889185349,-0.904296146530392,0.348389741378554,-0.723124224686819,0.87321238671818,0.0966861468998002,0.203867304280532,-1.38193162897105,-0.832384977236417,0.0808355113111725,-1.01765988247523,0.2297698951595,0.0314397728282433,0.53416917285747,1.00560073333871
"IMS_Cui",0.331447180405659,0.362489390825474,-0.442433819492835,-0.0768397296985393,0.281393343754262,0.274868400666268,-0.39224066758555,0.460374933640131,-0.0867384516584541,-0.532100884716294,-0.538081075486678,-0.513127185132829,0.139449926195939,0.316271918079798,0.458808204959564,-0.167748997524524,-0.623983322636513,-0.0373924604711303,0.656749164308161,0.635757602054862,-0.17451986919718,0.215219619306697,0.366567919603265
"Inflammatory_Thompson",0.603258475212729,0.604101441568502,-0.715441879656035,0.112265339984058,0.705042496216798,-0.564114855799762,0.675588176798261,-0.507219806011277,-0.558448962707088,0.106710457468901,-0.026228928662178,-0.346261300907143,0.412417927940474,0.443410774848452,0.593522365689205,-0.731220872447797,-0.50344305263014,0.110596409959464,-0.626967627548623,0.347854439620665,0.00249003903345751,0.0421389234743906,0.707181574617887
