"","Pat02","Pat03","Pat04","Pat06","Pat08","Pat118","Pat119","Pat123","Pat126","Pat14","Pat15","Pat16","Pat19","Pat20","Pat25","Pat27","Pat28","Pat29","Pat33","Pat36","Pat37","Pat38","Pat39","Pat40","Pat41","Pat43","Pat44","Pat45","Pat46","Pat47","Pat49","Pat50","Pat79","Pat80","Pat81","Pat83","Pat85","Pat86","Pat88","Pat90","Pat91","Pat98"
"CCL5-CXCL9_Dangaj",0.345458722745189,-0.61000150845902,0.116458704693994,0.561835560799944,0.397199315617491,0.482681870729754,0.253822863394654,0.229004434612341,0.0516934046345788,-0.375755949828954,-0.684314902585114,0.576059913203962,0.405598614661538,-0.134845451367506,0.108140225787283,-0.310028029657178,0.609625668449207,0.286650311018785,-0.600467139229828,-0.52454856951525,0.0855614973261972,0.666666666666673,0.177061243207202,-0.494750765109848,-0.301414207657233,0.507937767706571,-0.810457516339826,-0.788361404965796,-0.21430658928264,-0.533543340044857,0.681032238388532,-0.0756046919959703,-0.284830444935339,0.273573478624137,-0.464904093390651,0.542250734254513,0.856803327391566,-0.310215966613218,0.672057420811166,-0.00571686795250262,0.0207961972667836,0.331457989860974
"Chemokine_Messina",-0.26921865906866,-0.595615503649714,0.282143749324206,0.337040738679599,0.651035219750555,0.202378662229967,0.378698224852074,0.425087867597989,0.533721402174616,-0.501183431952637,-0.518343195266245,0.603769286069795,-0.0656804733727779,-0.0976331360946776,0.0372781065088733,-0.257881113006407,0.764261494771439,-0.538138878610009,-0.347797852758295,0.0228536605229642,0.0822485207100573,0.776923076923082,-0.405268588515222,-0.273773307322878,-0.584917721245596,0.117285783064099,-0.815016799463268,-0.710059171597599,-0.175662927173535,-0.0889494858585935,0.662276141607627,0.00650887573964509,-0.197827509442372,0.452626338588884,-0.602385076871006,0.246165166898144,0.591481519411351,-0.558718875342488,0.743488493348577,-0.18071617656565,0.461878645455893,0.241631749545422
"COX-IS_Bonavita",0.565761838378792,-0.437803427891093,-0.0812114462246873,-0.0748765097920317,-0.225948221956017,-0.15501886267911,0.00460059530942001,-0.134854290942778,-0.0512555308463019,0.768177929325851,-0.252641606762975,2.3529517993511,-0.0342494289329684,0.252306996018027,-0.322980368105188,3.76452314306159,-0.177097009056023,0.155089496801836,-0.524486021624694,-0.281098973097032,-0.0536981413418316,-0.089814989920351,3.19557519841861,-2.00196023387193,-0.232362893944703,-0.200268522507538,-0.224127584397146,-0.323639725618207,-1.76398458171368,-0.643920740320992,-0.205187903334194,-0.821332078177589,-0.0587702588238535,-0.0471059003607693,-0.253360958733402,-0.415285611482083,-0.124518058847451,-0.464400062084486,-0.191222740119999,-0.354868465305899,0.265858440628946,-0.101494288477166
"CYT_Davoli",0.108682811577093,-0.61214066015525,0.399033993752112,0.450785215794262,0.480548887009923,0.417011222681637,0.297431451822758,0.299329077238122,-0.0785587714116799,-0.220539965194203,-0.653868871825183,0.800945067926757,0.362079149438873,-0.322804746357238,0.165625908317205,-0.585337761762345,0.702303603071463,0.513290017720024,-0.691671588895477,-0.698759598346149,-0.0826934435912403,0.727111636148847,0.0284528331225176,-0.621454073363225,-0.557566922259377,0.566631866788301,-0.799763733018324,-0.75465037992936,-0.485528647371545,-0.61961015948024,0.815121086828109,0.0189013585351578,0.28078665261053,0.0686107271008637,-0.67395156526878,0.717660956881273,0.816893089190782,-0.385553254866634,0.839929119905489,0.143252494259612,-0.158298877731819,0.0797401063201552
"CYT_Rooney",0.101295641931679,-0.612485276796241,0.603062426383979,0.173733804475849,0.339811542991751,0.597140185716193,0.439207058248326,0.289752650176675,-0.00765606595995777,-0.31213191990578,-0.702591283863379,0.748527679623085,0.286219081272081,-0.072438162544176,0.316817552638137,-0.643109540636053,0.788574793875147,0.165416074219021,-0.621908127208491,-0.363368669022388,-0.0335689045936453,0.876914016489988,0.0465253239104773,-0.721436984687879,-0.606595995288585,0.711440619729671,-0.724970553592473,-0.800942285041236,-0.54416961130743,-0.75088339222616,0.843934040047113,-0.286808009422858,0.257361601884566,0.341871917738792,-0.692579505300364,0.736749116607773,0.662544169611306,-0.0329799764428796,0.889870435806832,0.110129564193163,-0.0488810365135516,-0.00647820965842699
"EMT_Thompson",0.212097947027033,0.396762075189507,0.425809077281391,0.0540899258267708,0.372566762056803,-0.301699399263252,-0.62212653470452,-0.0617393798726457,-0.0503985790558179,-0.0588546069543192,-0.291228017477347,-0.406654789119859,0.260480922337813,-0.243020766468037,0.295084172239844,0.0835168438905184,-0.20457505815114,0.370244757557561,0.146031977561276,0.320147062635197,0.0875897293900938,-0.0311993667348362,0.0933100615026062,-0.116005674916624,-0.406665433282041,-0.0248383803087937,0.199784802148967,-0.0735713754841606,0.499694791193927,-0.453389155391512,0.708378738249403,-0.163499751032704,-0.822643900304423,-0.244307498931288,-0.196115623347104,0.0885177495238056,0.391164038202062,0.269856111535823,-0.0725428334899101,-0.244083027486993,0.201391524879316,-0.387359918452396
"EMTstroma_Wang",0.539172485769662,0.398513337601661,-0.164960591412253,-0.274495549758697,-0.474772421659352,0.410029446926165,0.161639017782796,0.059265866533575,0.470883556554779,0.0941604659972345,-0.156599505842756,-0.371658579818931,0.501673081091986,-0.44305055887562,-0.741271357784586,0.497887340229077,-0.546399380792035,-0.23521019259781,-0.0599637219893769,0.19673989760531,0.194976580184727,-0.173760013223216,0.401795002048547,0.482580709157492,-0.107482185273162,0.531003791004903,0.297734867284395,-0.0327643053757188,0.0306474323228611,0.108060117138932,-0.45309710008157,-0.210064364857353,-0.0279595203891533,0.105185325195286,0.35968859639565,-0.482717188052767,-0.0840078108759328,-0.24912033898478,-0.572512331857124,0.191800581217903,-0.245422101823112,0.147167907515004
"IFN_Ayers",-0.274965603611581,-0.659841786303278,0.25236581882368,0.730683869144134,0.597822393037757,0.647782839287643,-0.0708917977829688,-0.454884331125115,0.425418185888574,-0.338833971450505,-1.2834680992781,-0.0517225575571699,0.599953506775049,0.111959589146905,-0.253292295707079,0.15870594234715,1.313897035756,0.0495223728988639,-0.653895411987076,-0.817523754407271,0.453466647896372,1.10033784925632,0.0904319889451597,-0.407831736386851,-2.27244413247563,1.02467495692663,-2.19862882790522,-1.93778305436132,-0.147044264918579,-0.339780519280019,1.27163133827081,-0.0880012163813266,-0.093951702822302,0.554451890476625,-0.97650198866651,0.525960486926785,1.38602147966118,-0.0268905608605267,1.35772087706943,-0.0135308912716328,0.426451258869963,0.282448177135014
"IMS_Cui",0.578001371895741,0.19128032825115,0.165365436637689,0.340447067019084,-0.140228558632864,0.342104001666464,-0.357970425602792,-0.275674960296448,0.137692951287179,0.238450929237838,-0.460505797725517,0.0715886191994043,0.405190311418699,0.111692340007393,-0.0414152244417712,0.227568242752138,-0.208565016071895,-0.448743693753083,-0.196369096369091,-0.159512370231628,0.119349652945334,0.479540049066431,0.265025403655119,0.359443106412128,-0.141627400005424,0.54918195328812,-0.492553464545009,-0.458482435894298,0.354040173492719,0.106716257343455,-0.426589390019792,-0.197860962566836,-0.285711543290529,0.313275049320746,0.10096849561388,-0.28084269170933,0.440630120033,-0.403589673154606,-0.590092318901041,-0.219406760983593,0.290426795033458,0.00831847890671271
"Inflammatory_Thompson",-0.163082437275981,-0.601183663470225,0.220721068677131,0.532648376333011,0.582403432138252,0.198341696535244,0.197959907455112,0.302995808669863,0.114097968936682,-0.362040078254802,-0.666038023301546,0.656098747938492,0.0893806484854246,-0.254748868757012,0.174709387375858,-0.433663868883215,0.735207094833458,0.226314456344685,-0.668167669339292,-0.413927216213475,-0.120931986849101,0.706784663234387,-0.242716503640263,-0.614458876252692,-0.576684129066719,0.382485629047511,-0.656993933228384,-0.762025562223343,-0.49228636716896,-0.364114206936657,0.815809899529315,-0.230138003368625,-0.0880991825773242,0.305617929120479,-0.576177795566753,0.509509471474445,0.726898409953378,-0.301197876126769,0.802270011947425,0.00776583034647987,0.0418615460691227,0.172055389865886
