"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment"
"R vs NR","GALNT5","ICB_small_Mariathasan",0.307,0.19,133,0.106150757335716,"Bladder","PD-1/PD-L1"
"R vs NR","TXNDC11","ICB_small_Mariathasan",-0.316,0.197,133,0.108692278884694,"Bladder","PD-1/PD-L1"
"R vs NR","SLC9C1","ICB_small_Mariathasan",0.311,0.192,133,0.106166549072739,"Bladder","PD-1/PD-L1"
"R vs NR","RAB42","ICB_small_Mariathasan",-0.446,0.273,133,0.102001366958989,"Bladder","PD-1/PD-L1"
"R vs NR","POLE","ICB_small_Mariathasan",-0.31,0.197,133,0.114950549635654,"Bladder","PD-1/PD-L1"
"R vs NR","TBX21","ICB_small_Mariathasan",-0.3,0.196,133,0.125469037904782,"Bladder","PD-1/PD-L1"
"R vs NR","MS4A1","ICB_small_Mariathasan",-0.301,0.199,133,0.130746696976279,"Bladder","PD-1/PD-L1"
"R vs NR","LCK","ICB_small_Mariathasan",-0.292,0.194,133,0.132401868740171,"Bladder","PD-1/PD-L1"
"R vs NR","CD3E","ICB_small_Mariathasan",-0.3,0.199,133,0.131236042910034,"Bladder","PD-1/PD-L1"
"R vs NR","EAF1","ICB_small_Mariathasan",-0.283,0.191,133,0.137913231459879,"Bladder","PD-1/PD-L1"
"R vs NR","IFIT5","ICB_small_Mariathasan",-0.287,0.195,133,0.140320974875708,"Bladder","PD-1/PD-L1"
"R vs NR","NKG7","ICB_small_Mariathasan",-0.31,0.213,133,0.145112314808557,"Bladder","PD-1/PD-L1"
"R vs NR","CD83","ICB_small_Mariathasan",-0.262,0.184,133,0.154228617132897,"Bladder","PD-1/PD-L1"
"R vs NR","MYCL","ICB_small_Mariathasan",-0.268,0.191,133,0.162096841262107,"Bladder","PD-1/PD-L1"
"R vs NR","RAB11FIP4","ICB_small_Mariathasan",-0.27,0.192,133,0.159364733703322,"Bladder","PD-1/PD-L1"
"R vs NR","RAB20","ICB_small_Mariathasan",-0.276,0.195,133,0.158349983534818,"Bladder","PD-1/PD-L1"
"R vs NR","F11R","ICB_small_Mariathasan",-0.274,0.189,133,0.147594589362734,"Bladder","PD-1/PD-L1"
"R vs NR","RAB8A","ICB_small_Mariathasan",-0.278,0.193,133,0.149925941586214,"Bladder","PD-1/PD-L1"
"R vs NR","CXCR6","ICB_small_Mariathasan",-0.295,0.212,133,0.164940623062293,"Bladder","PD-1/PD-L1"
"R vs NR","ABCD2","ICB_small_Mariathasan",-0.279,0.2,133,0.16248817971216,"Bladder","PD-1/PD-L1"
"R vs NR","PRF1","ICB_small_Mariathasan",-0.275,0.197,133,0.162957514125575,"Bladder","PD-1/PD-L1"
"R vs NR","GZMK","ICB_small_Mariathasan",-0.3,0.225,133,0.182188849002228,"Bladder","PD-1/PD-L1"
"R vs NR","SLAMF1","ICB_small_Mariathasan",-0.258,0.192,133,0.180703096033633,"Bladder","PD-1/PD-L1"
"R vs NR","RAB11FIP1","ICB_small_Mariathasan",-0.248,0.187,133,0.185120976694016,"Bladder","PD-1/PD-L1"
"R vs NR","PPM1D","ICB_small_Mariathasan",-0.264,0.198,133,0.182793925930501,"Bladder","PD-1/PD-L1"
"R vs NR","GCNT4","ICB_small_Mariathasan",-0.265,0.204,133,0.194619241446065,"Bladder","PD-1/PD-L1"
"R vs NR","PDCD1","ICB_small_Mariathasan",-0.262,0.203,133,0.19733425766602,"Bladder","PD-1/PD-L1"
"R vs NR","SOX9","ICB_small_Mariathasan",0.22,0.178,133,0.2151202741956,"Bladder","PD-1/PD-L1"
"R vs NR","GLE1","ICB_small_Mariathasan",-0.22,0.2,133,0.271750655529472,"Bladder","PD-1/PD-L1"
"R vs NR","DLG4","ICB_small_Mariathasan",0.212,0.191,133,0.267453363044089,"Bladder","PD-1/PD-L1"
"R vs NR","PCDHGB6","ICB_small_Mariathasan",0.205,0.186,133,0.269280769156646,"Bladder","PD-1/PD-L1"
"R vs NR","SELL","ICB_small_Mariathasan",-0.209,0.194,133,0.282743012259145,"Bladder","PD-1/PD-L1"
"R vs NR","PTPRCAP","ICB_small_Mariathasan",-0.202,0.187,133,0.27966020795447,"Bladder","PD-1/PD-L1"
"R vs NR","C14orf132","ICB_small_Mariathasan",0.202,0.187,133,0.280643353116041,"Bladder","PD-1/PD-L1"
"R vs NR","P2RY10","ICB_small_Mariathasan",-0.214,0.207,133,0.299998031346778,"Bladder","PD-1/PD-L1"
"R vs NR","ARHGAP24","ICB_small_Mariathasan",0.18,0.185,133,0.331246480998183,"Bladder","PD-1/PD-L1"
"R vs NR","IKZF3","ICB_small_Mariathasan",-0.189,0.193,133,0.3282310176731,"Bladder","PD-1/PD-L1"
"R vs NR","PLCL2","ICB_small_Mariathasan",-0.174,0.188,133,0.355528762258756,"Bladder","PD-1/PD-L1"
"R vs NR","LY9","ICB_small_Mariathasan",-0.17,0.194,133,0.381026400344115,"Bladder","PD-1/PD-L1"
"R vs NR","SYK","ICB_small_Mariathasan",-0.174,0.2,133,0.383483387588083,"Bladder","PD-1/PD-L1"
"R vs NR","SORCS2","ICB_small_Mariathasan",0.159,0.183,133,0.384731847949475,"Bladder","PD-1/PD-L1"
"R vs NR","ZBED2","ICB_small_Mariathasan",-0.133,0.191,133,0.486411854494316,"Bladder","PD-1/PD-L1"
"R vs NR","TAGAP","ICB_small_Mariathasan",-0.128,0.189,133,0.49629077336445,"Bladder","PD-1/PD-L1"
"R vs NR","FGD3","ICB_small_Mariathasan",-0.121,0.191,133,0.524176586602653,"Bladder","PD-1/PD-L1"
"R vs NR","PRKCH","ICB_small_Mariathasan",0.084,0.178,133,0.636741957668464,"Bladder","PD-1/PD-L1"
"R vs NR","CST7","ICB_small_Mariathasan",-0.089,0.186,133,0.63136913104874,"Bladder","PD-1/PD-L1"
"R vs NR","DDI2","ICB_small_Mariathasan",-0.088,0.185,133,0.635468707564216,"Bladder","PD-1/PD-L1"
"R vs NR","WDR86","ICB_small_Mariathasan",0.072,0.175,133,0.679608246250684,"Bladder","PD-1/PD-L1"
"R vs NR","RPS6KA5","ICB_small_Mariathasan",-0.07,0.178,133,0.693047350822754,"Bladder","PD-1/PD-L1"
"R vs NR","IQUB","ICB_small_Mariathasan",0.071,0.212,133,0.736982134318742,"Bladder","PD-1/PD-L1"
"R vs NR","GMIP","ICB_small_Mariathasan",0.009,0.178,133,0.960241520373116,"Bladder","PD-1/PD-L1"
