"","PD_005T","PD_007T","PD_010T","PD_011T","PD_012T","PD_013T","PD_014T","PD_015T","PD_018T","PD_019T","PD_020T","PD_021T","PD_022T","PD_023T","PD_024T","PD_025T","PD_026T","RCC_102","RCC_105","RCC_106","RCC_115","RCC_117","RCC_14","RCC_18","RCC_21","RCC_27","RCC_41","RCC_50","RCC_73","RCC_90","RCC_93","RCC_96","RCC_99"
"CCL5-CXCL9_Dangaj",-0.327731580926891,-0.461343837487548,-0.00882108201182077,0.515791508416595,-0.484472720379369,-0.0566791689074629,-0.0982100982270752,-0.510444011997701,0.388740789837558,-0.450790280841976,0.674414875073128,-0.108910882865725,-0.240384757260948,-0.356844179938619,0.725657069559643,-0.135370602319302,-0.714491618154147,-0.42927945349596,-0.578033919421882,-0.418288852395665,0.0248033877797945,0.602290399215993,0.65010200206107,-0.357940326878065,-0.233225743403603,-0.460209732669612,0.8008996248227,0.708930126872463,-0.783856558562863,0.233735723137905,0.516915063994938,-0.354682403035367,0.450277450744443
"Chemokine_Messina",-0.576448608351728,-0.60812464162478,0.0149151280239831,-0.417271967450983,-0.163424915171497,-0.040292447322328,-0.659532808711049,-0.778462735258138,-0.782264945802785,-0.462299416004638,0.590950125287479,-0.323555006218562,-0.489950633479493,-0.800400755163814,0.135407519910152,-0.688474341520211,-0.817986985027059,0.0981927710843424,-0.560153032802118,0.0174708229944046,-0.11499350429784,0.500263153219146,0.662048192771087,-0.0445783132530115,0.486963175744709,0.166883669130304,0.657615716983898,0.721600173147676,-0.566341400521838,0.709638554216877,0.677579197711778,-0.300156389863485,0.636479508320428
"COX-IS_Bonavita",0.422654489970104,0.302934983453028,0.132437405600301,0.108228636749708,0.345498838863982,0.432047531887093,0.273898765678155,-5.49425669852265,0.0953698497538131,0.511693502512396,0.119441224546533,0.189838273782211,0.292536653727657,0.442171619717358,0.111077249787994,0.402038892964128,-0.0128358267458698,0.0794700363098721,-0.0370252193972854,0.210648265653527,0.211716019696127,0.0983991821426087,0.120700578067349,0.106162289468125,0.121154305659658,-0.302201472587578,0.0585810856703309,0.0134096711658861,0.0167004206345209,0.240883066340191,0.06660397154833,0.159844681433942,0.160177724468451
"CYT_Davoli",-0.607287900871386,-0.608538785327742,0.491609762610158,0.405367869162535,-0.719783523752298,-0.529080994316538,-0.121467227901374,-0.72519542994592,0.143740887486722,-0.567648827420349,0.589083565730108,-0.0583283223090693,-0.218680498742693,-0.549221350847745,0.693035329646056,-0.630334670158671,-0.88995790739633,0.610767577965041,-0.776551870783263,-0.190601983322838,-0.158147925435948,0.805772699939866,0.7306073361395,0.123020055887662,-0.579783714122911,-0.659912778088745,0.832230907997589,0.926638604930842,-0.647579872718136,0.329032915201272,0.354780517137705,-0.082982561635591,0.532572344088498
"CYT_Rooney",-0.722609971724103,-0.607314148681046,0.282424907531605,0.38129496402878,-0.648681055155866,-0.33812949640287,-0.272720141643687,-0.942446043165457,-0.0293764988009539,-0.51112809941799,0.724820143884893,-0.156474820143879,-0.028776978417261,-0.605515587529967,0.646282973621104,-0.612793588658476,-0.955635491606704,0.486211031175062,-0.808153477218215,-0.217625899280569,-0.584341798084702,0.810551558752998,0.772781774580336,-0.0989208633093468,-0.184052757793759,-0.898742171311484,0.899880095923262,0.99220623501199,-0.543764988009584,0.487949984180915,0.297362110311754,-0.429662532205147,0.588729016786572
"EMT_Thompson",0.0719210570022186,-0.383284249168603,-0.0370929887591481,0.27064283465191,-0.0759891300671772,-0.211987237158667,-0.0577632351649845,0.263323094233401,0.168013348136695,-0.311654180319805,-0.0514511394742636,0.250743239606074,0.0539155182726,-0.249236170132842,0.0284223870025978,-0.133217942676769,0.30791223510013,-0.0229247606691179,0.131813147546308,-0.265552673398856,0.506166674338477,0.257347297719594,0.730075389215834,-0.371282649647972,-0.0555746951897903,-0.597649954248733,0.050393830952263,-0.000241410427566662,-0.108768424731952,0.353756121363483,-0.575960706037106,-0.504987063043762,0.570172435175533
"EMTstroma_Wang",0.289243968445905,0.599413663500728,0.286700813619553,-0.206404553504037,0.202233183012664,0.650382117969405,0.402596292759886,0.347673182707126,-0.262791108528713,0.566032285703218,-0.397512440703153,-0.135778873515566,0.370469702246149,0.485993778108096,-0.240586984343389,0.586933790847824,-0.275432882466518,-0.118215352780911,-0.152842718461762,-0.00561906992771294,-0.523374202471899,-0.668134180622251,-0.593105112380008,-0.10387586946156,0.385336764371121,0.472172601091394,-0.556345510807116,-0.166210555884671,0.253638473905052,-0.260464391182026,0.29913124085741,0.344058223352887,-0.559993035779442
"IFN_Ayers",-0.430360315562728,-0.414241428220738,-0.456892764980247,0.398943001074563,0.0333924132349225,-0.451616014197602,-0.532664130195773,-0.506417386715997,0.096759255685678,-0.83823018940109,0.541438406798212,0.455710817944412,-0.603580939495117,-0.550964924801579,0.641001090057695,-0.257294992427364,-1.44161074636738,-0.192140837737743,-1.19491279347128,-0.184500701522189,0.0906015185015897,1.40679584075669,0.872922797570657,-0.582231647710461,0.790206038023201,0.104867541237811,1.58726088583521,1.29711193604757,-1.17119124287279,0.243574422601941,1.29859703003239,-0.265574942715671,0.215243002993213
"IMS_Cui",-0.268212955379462,0.266380564762509,-0.118572292800972,-0.504475181251558,-0.070229614179559,0.369983295683712,0.040186781988616,-0.177934957201469,-0.288835310007174,0.374271466769131,-0.135613688294985,-0.499105924648758,0.0643893395831123,0.159816313405642,-0.367078435192325,0.298071252867791,-0.412211687626216,0.077206470588484,-0.326958391641084,0.452988199675128,-0.105844736318211,-0.450210374920921,0.0126703448327807,-0.22183066129669,0.689512045207852,0.545805911504643,-0.200570153246843,-0.0887821335356866,0.294302650979701,0.348349799812006,0.360032126550106,0.257807722657314,-0.35734655370335
"Inflammatory_Thompson",-0.349434974202886,-0.551949798649504,0.267387692125093,0.339396266903826,-0.387211214390179,-0.346406103081611,-0.319771455902852,-0.674101167331737,0.0724382784937791,-0.502890953328957,0.748471179124185,0.0699513381995144,-0.376570427351678,-0.523465158477838,0.632017405799421,-0.516028981664861,-0.692053757314556,0.0893822952506524,-0.672752815647231,-0.435435778581152,-0.168910299212529,0.717962823815655,0.674710459513557,-0.150613784457981,0.113267728115504,-0.516401393252295,0.739784517135761,0.734691142234741,-0.649061105350176,0.407528320562706,0.344287389656681,-0.458639683499084,0.464013985156104
"IPRES_Hugo",0.117669806548284,0.335945338521722,0.218087065644154,0.0411073262125808,0.280447937492981,0.417142741017487,0.265434131972624,0.218310202479609,0.0845935120785046,0.339104343069214,-0.0560809103590293,0.095327200753914,0.349061997254974,0.303119669066352,-0.065059169988221,0.230065126286935,0.141995887251113,0.236047597695261,0.212872235173964,0.243116282501085,0.108521832555535,-0.0354257460424956,-0.043798601130659,0.120850727746766,0.267720708226248,0.359792032101336,-0.0985283846775213,0.110158529375629,0.353872444454272,0.0522426680702912,0.171872256758396,0.237962724230808,0.015935303322503
"IPS_Charoentong",0.127852175373636,0.587293839370252,0.124895466218122,0.841913614573068,0.258907169129725,-0.0764056516262124,-0.0771611104154586,-0.642779553740945,0.3461234110909,-0.514442640428512,-0.142665474116284,0.289694255091012,-0.526183080208986,-0.261884283566286,-0.692372211583869,-1.30305395974773,0.707257105471678,2.59947391232794,1.77192098976741,-0.0648309584113609,0.930255995324408,1.076619499244,-0.559987364433944,-0.18177456993263,-0.557080284307202,-2.26932523020358,0.337382078980678,-0.117048978019307,0.958076743614258,-2.08486380985617,1.22495795557544,-1.22548147359173,-0.885283576962324
