"input_data.Gene","input_data.Study","input_data.N","input_data.Coef","input_data.SE","input_data.Pval","input_data.Cancer_type","input_data.Treatment","meta_output.studlab","meta_output.TE","meta_output.seTE","meta_output.statistic","meta_output.pval","meta_output.df","meta_output.lower","meta_output.upper","meta_output.w.common","meta_output.w.random","meta_output.zval","meta_output.w.fixed","meta_summery.Gene","meta_summery.Coef","meta_summery.SE","meta_summery.CI_lower","meta_summery.CI_upper","meta_summery.Pval","meta_summery.I2","meta_summery.Q_Pval"
"CXCL9","ICB_small_Padron",45,-0.342761875327948,0.168451875370158,0.0418733918062702,"Melanoma","IO+combo","ICB_small_Padron",-0.342761875327948,0.168451875370158,-2.03477625033713,0.0418733918062706,NA,-0.672921484181687,-0.0126022664742086,35.2410061558848,28.8039262342473,-2.03477625033713,35.2410061558848,"CXCL9",-0.207043159831354,0.10161228265618,-0.406199574224371,-0.00788674543833684,0.0415919490024105,0,0.474850015042599
"CXCL9","ICB_small_Van_Allen",42,-0.321841427587971,0.192855882648213,0.0951533934562222,"Melanoma","CTLA4","ICB_small_Van_Allen",-0.321841427587971,0.192855882648213,-1.66881830706217,0.0951533934562227,NA,-0.699832011785152,0.0561491566092095,26.8864967786616,22.9701051471514,-1.66881830706217,26.8864967786616,"CXCL9",-0.207043159831354,0.10161228265618,-0.406199574224371,-0.00788674543833684,0.0415919490024105,0,0.474850015042599
"CXCL9","ICB_small_Miao",33,-0.226276232861021,0.407133631939404,0.578362094202237,"Bladder","PD-1/PD-L1","ICB_small_Miao",-0.226276232861021,0.407133631939404,-0.555778779029238,0.578362094202238,NA,-1.02424348835724,0.571691022635197,6.03289881171169,5.81060059577249,-0.555778779029238,6.03289881171169,"CXCL9",-0.207043159831354,0.10161228265618,-0.406199574224371,-0.00788674543833684,0.0415919490024105,0,0.474850015042599
"CXCL9","ICB_small_Liu",74,-0.0374887860714779,0.138293633603547,0.786328681164689,"Pancreas","PD-1/PD-L1","ICB_small_Liu",-0.0374887860714779,0.138293633603547,-0.271081069277193,0.786328681164689,NA,-0.308539327225608,0.233561755082652,52.2872287563909,39.2671430928978,-0.271081069277193,52.2872287563909,"CXCL9",-0.207043159831354,0.10161228265618,-0.406199574224371,-0.00788674543833684,0.0415919490024105,0,0.474850015042599
"CXCL9","ICB_small_Hugo",NA,NA,NA,NA,NA,NA,"ICB_small_Hugo",NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,"CXCL9",-0.207043159831354,0.10161228265618,-0.406199574224371,-0.00788674543833684,0.0415919490024105,0,0.474850015042599
"CXCL9","ICB_small_Mariathasan",NA,NA,NA,NA,NA,NA,"ICB_small_Mariathasan",NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,"CXCL9",-0.207043159831354,0.10161228265618,-0.406199574224371,-0.00788674543833684,0.0415919490024105,0,0.474850015042599
"CXCL9","ICB_small_Nathanson",NA,NA,NA,NA,NA,NA,"ICB_small_Nathanson",NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,"CXCL9",-0.207043159831354,0.10161228265618,-0.406199574224371,-0.00788674543833684,0.0415919490024105,0,0.474850015042599
"CXCL9","ICB_small_Riaz",NA,NA,NA,NA,NA,NA,"ICB_small_Riaz",NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,"CXCL9",-0.207043159831354,0.10161228265618,-0.406199574224371,-0.00788674543833684,0.0415919490024105,0,0.474850015042599
