"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","CD27","Hugo__Melanoma__PD-(L)1",0.021,0.393,27,0.95833085000187,"Melanoma","PD-(L)1",0.998149240496595
"R vs NR","VPS37B","Hugo__Melanoma__PD-(L)1",-0.148,0.396,27,0.708115862084397,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","WDR45B","Hugo__Melanoma__PD-(L)1",0.2,0.399,27,0.616178719788614,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","CALM2","Hugo__Melanoma__PD-(L)1",-0.037,0.392,27,0.925629873004829,"Melanoma","PD-(L)1",0.998149240496595
"R vs NR","GZMA","Hugo__Melanoma__PD-(L)1",0.324,0.407,27,0.425824247094779,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","IL2RG","Hugo__Melanoma__PD-(L)1",0.108,0.394,27,0.784533384403352,"Melanoma","PD-(L)1",0.988308289443184
"R vs NR","C9orf72","Hugo__Melanoma__PD-(L)1",0.301,0.408,27,0.461245304059337,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","RILPL2","Hugo__Melanoma__PD-(L)1",0.516,0.451,27,0.2520490331513,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","ZFP36L2","Hugo__Melanoma__PD-(L)1",0.046,0.393,27,0.907097972015331,"Melanoma","PD-(L)1",0.998149240496595
"R vs NR","BANK1","Hugo__Melanoma__PD-(L)1",0.001,0.392,27,0.998149240496595,"Melanoma","PD-(L)1",0.998149240496595
"R vs NR","RANBP2","Hugo__Melanoma__PD-(L)1",0.391,0.417,27,0.348477540436209,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","NR4A2","Hugo__Melanoma__PD-(L)1",0.136,0.394,27,0.730567922168153,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","CD8A","Hugo__Melanoma__PD-(L)1",0.072,0.393,27,0.854480748440835,"Melanoma","PD-(L)1",0.998149240496595
"R vs NR","CHD1","Hugo__Melanoma__PD-(L)1",0.44,0.443,27,0.320923776496034,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","MS4A1","Hugo__Melanoma__PD-(L)1",-0.276,0.414,27,0.505964154213157,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","CCR5","Hugo__Melanoma__PD-(L)1",0.195,0.397,27,0.62240803865528,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","FCMR","Hugo__Melanoma__PD-(L)1",0.244,0.402,27,0.543335421299867,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","REL","Hugo__Melanoma__PD-(L)1",0.009,0.393,27,0.981007596425688,"Melanoma","PD-(L)1",0.998149240496595
"R vs NR","CTLA4","Hugo__Melanoma__PD-(L)1",0.685,0.471,27,0.145854749637366,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","DNAJB14","Hugo__Melanoma__PD-(L)1",0.023,0.393,27,0.95345032853077,"Melanoma","PD-(L)1",0.998149240496595
"R vs NR","PRMT9","Hugo__Melanoma__PD-(L)1",-0.176,0.397,27,0.65807738841093,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","TRA2A","Hugo__Melanoma__PD-(L)1",0.392,0.434,27,0.366723466465218,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","TAGAP","Hugo__Melanoma__PD-(L)1",-0.08,0.394,27,0.838377754379108,"Melanoma","PD-(L)1",0.998149240496595
"R vs NR","BORCS5","Hugo__Melanoma__PD-(L)1",0.287,0.407,27,0.479830673715084,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","CD3D","Hugo__Melanoma__PD-(L)1",-0.029,0.393,27,0.941705141744344,"Melanoma","PD-(L)1",0.998149240496595
"R vs NR","TUBA1A","Hugo__Melanoma__PD-(L)1",0.462,0.419,27,0.270268551379374,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","TUBA1C","Hugo__Melanoma__PD-(L)1",-0.056,0.393,27,0.88731559930241,"Melanoma","PD-(L)1",0.998149240496595
"R vs NR","NFKBID","Hugo__Melanoma__PD-(L)1",0.514,0.441,27,0.24397133668159,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","CXCL10","Hugo__Melanoma__PD-(L)1",0.221,0.398,27,0.578254706707643,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","CXCL11","Hugo__Melanoma__PD-(L)1",0.267,0.401,27,0.505444969765346,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","GPR183","Hugo__Melanoma__PD-(L)1",-0.147,0.398,27,0.711823493390042,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","CXCR6","Hugo__Melanoma__PD-(L)1",0.411,0.419,27,0.326556091967569,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","CMKLR1","Hugo__Melanoma__PD-(L)1",0.426,0.414,27,0.303235735806605,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","TGIF1","Hugo__Melanoma__PD-(L)1",0.264,0.399,27,0.508813587704554,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","PER1","Hugo__Melanoma__PD-(L)1",0.181,0.395,27,0.646696408222265,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","CIITA","Hugo__Melanoma__PD-(L)1",-0.318,0.409,27,0.436335988491968,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","PRF1","Hugo__Melanoma__PD-(L)1",0.482,0.422,27,0.253673315228714,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","TIGIT","Hugo__Melanoma__PD-(L)1",-0.124,0.394,27,0.752821797886944,"Melanoma","PD-(L)1",0.973649525267114
"R vs NR","TENT5C","Hugo__Melanoma__PD-(L)1",0.278,0.402,27,0.488755225602703,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","PDCD1","Hugo__Melanoma__PD-(L)1",-0.115,0.394,27,0.770600056713892,"Melanoma","PD-(L)1",0.983529019753256
"R vs NR","HLA.DRB1","Hugo__Melanoma__PD-(L)1",-0.083,0.394,27,0.832758559138676,"Melanoma","PD-(L)1",0.998149240496595
"R vs NR","TSC22D2","Hugo__Melanoma__PD-(L)1",0.227,0.399,27,0.568739476664521,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","HLA.DQA1","Hugo__Melanoma__PD-(L)1",-0.268,0.4,27,0.503494986439278,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","ZNF165","Hugo__Melanoma__PD-(L)1",-0.871,0.508,27,0.0864789264308981,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","PDCD1LG2","Hugo__Melanoma__PD-(L)1",0.273,0.403,27,0.49722927679315,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","CD3E","Hugo__Melanoma__PD-(L)1",-0.182,0.397,27,0.646526800926105,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","HLA.DRA","Hugo__Melanoma__PD-(L)1",-0.134,0.395,27,0.733647125434233,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","HLA.E","Hugo__Melanoma__PD-(L)1",-0.555,0.428,27,0.194731634337621,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","PSMB10","Hugo__Melanoma__PD-(L)1",-0.275,0.401,27,0.492393338819438,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","SIGLEC14","Hugo__Melanoma__PD-(L)1",0.57,0.436,27,0.190984198439436,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","CCL5","Hugo__Melanoma__PD-(L)1",0.134,0.395,27,0.73463844149011,"Melanoma","PD-(L)1",0.962972011142442
