"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","CD27","Braun__Kidney__PD-(L)1",0.299,0.187,142,0.109561126213571,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","VPS37B","Braun__Kidney__PD-(L)1",-0.034,0.193,142,0.861543997546254,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","WDR45B","Braun__Kidney__PD-(L)1",0.488,0.205,142,0.0174746870054386,"Kidney","PD-(L)1",0.803835602250178
"R vs NR","CALM2","Braun__Kidney__PD-(L)1",0.264,0.193,142,0.170411866843349,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","GZMA","Braun__Kidney__PD-(L)1",-0.008,0.182,142,0.96527406690844,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","IL2RG","Braun__Kidney__PD-(L)1",-0.045,0.185,142,0.80755823105039,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","C9orf72","Braun__Kidney__PD-(L)1",0.023,0.184,142,0.901725274369089,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","RILPL2","Braun__Kidney__PD-(L)1",-0.057,0.188,142,0.762139866751875,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","ZFP36L2","Braun__Kidney__PD-(L)1",0.156,0.193,142,0.41845880881966,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","BANK1","Braun__Kidney__PD-(L)1",-0.092,0.204,142,0.650756272911924,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","RANBP2","Braun__Kidney__PD-(L)1",0.171,0.201,142,0.395169443296754,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","NR4A2","Braun__Kidney__PD-(L)1",0.102,0.19,142,0.590725631899495,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","CD8A","Braun__Kidney__PD-(L)1",0.047,0.194,142,0.807416710713439,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","CHD1","Braun__Kidney__PD-(L)1",0.144,0.191,142,0.450679263002848,"Kidney","PD-(L)1",0.990152127331948
