"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","TRA2A","Mariathasan__Kidney__PD-(L)1",-0.01,0.373,46,0.979620151097236,"Kidney","PD-(L)1",0.984808295127061
"R vs NR","TAGAP","Mariathasan__Kidney__PD-(L)1",0.011,0.361,46,0.975744441774484,"Kidney","PD-(L)1",0.984808295127061
"R vs NR","CD3D","Mariathasan__Kidney__PD-(L)1",0.096,0.355,46,0.786139544026021,"Kidney","PD-(L)1",0.984808295127061
"R vs NR","TUBA1A","Mariathasan__Kidney__PD-(L)1",0.375,0.342,46,0.273564068606374,"Kidney","PD-(L)1",0.854460092703956
"R vs NR","TUBA1C","Mariathasan__Kidney__PD-(L)1",-0.344,0.346,46,0.319497917247831,"Kidney","PD-(L)1",0.896630326492993
"R vs NR","NFKBID","Mariathasan__Kidney__PD-(L)1",0.043,0.331,46,0.896917979132063,"Kidney","PD-(L)1",0.984808295127061
"R vs NR","CXCL10","Mariathasan__Kidney__PD-(L)1",-0.144,0.373,46,0.699332514847386,"Kidney","PD-(L)1",0.984808295127061
"R vs NR","GPR183","Mariathasan__Kidney__PD-(L)1",0.242,0.365,46,0.506739746756084,"Kidney","PD-(L)1",0.979696843728429
"R vs NR","CXCR6","Mariathasan__Kidney__PD-(L)1",0.008,0.36,46,0.983182124353033,"Kidney","PD-(L)1",0.984808295127061
"R vs NR","CMKLR1","Mariathasan__Kidney__PD-(L)1",0.289,0.353,46,0.413275351643991,"Kidney","PD-(L)1",0.915749634319289
"R vs NR","TGIF1","Mariathasan__Kidney__PD-(L)1",-0.251,0.367,46,0.493184293600889,"Kidney","PD-(L)1",0.979696843728429
"R vs NR","PER1","Mariathasan__Kidney__PD-(L)1",0.512,0.375,46,0.172789075044581,"Kidney","PD-(L)1",0.854460092703956
"R vs NR","CIITA","Mariathasan__Kidney__PD-(L)1",0.287,0.354,46,0.416924612227322,"Kidney","PD-(L)1",0.915749634319289
"R vs NR","PRF1","Mariathasan__Kidney__PD-(L)1",-0.115,0.339,46,0.734080757793365,"Kidney","PD-(L)1",0.984808295127061
"R vs NR","TIGIT","Mariathasan__Kidney__PD-(L)1",-0.089,0.376,46,0.812452572449232,"Kidney","PD-(L)1",0.984808295127061
"R vs NR","HLA.DRB1","Mariathasan__Kidney__PD-(L)1",0.108,0.364,46,0.766339824115784,"Kidney","PD-(L)1",0.984808295127061
"R vs NR","TSC22D2","Mariathasan__Kidney__PD-(L)1",-0.377,0.335,46,0.261267813582556,"Kidney","PD-(L)1",0.854460092703956
"R vs NR","ZNF165","Mariathasan__Kidney__PD-(L)1",-0.502,0.46,46,0.274998650525411,"Kidney","PD-(L)1",0.854460092703956
"R vs NR","PDCD1LG2","Mariathasan__Kidney__PD-(L)1",0.218,0.375,46,0.560196125069574,"Kidney","PD-(L)1",0.984808295127061
"R vs NR","CD3E","Mariathasan__Kidney__PD-(L)1",0.072,0.365,46,0.842895433568222,"Kidney","PD-(L)1",0.984808295127061
"R vs NR","HLA.DRA","Mariathasan__Kidney__PD-(L)1",0.285,0.354,46,0.421034314629558,"Kidney","PD-(L)1",0.915749634319289
"R vs NR","HLA.E","Mariathasan__Kidney__PD-(L)1",0.245,0.366,46,0.503212119596408,"Kidney","PD-(L)1",0.979696843728429
"R vs NR","PSMB10","Mariathasan__Kidney__PD-(L)1",-0.302,0.4,46,0.450153960804436,"Kidney","PD-(L)1",0.955204746097219
"R vs NR","CCL5","Mariathasan__Kidney__PD-(L)1",-0.232,0.381,46,0.542798762683263,"Kidney","PD-(L)1",0.983954687334957
