"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","VPS37B","Snyder__Ureteral__PD-(L)1",0.171,0.523,18,0.744478951073491,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","WDR45B","Snyder__Ureteral__PD-(L)1",-0.704,0.603,18,0.242963986520142,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","CALM2","Snyder__Ureteral__PD-(L)1",-0.284,0.504,18,0.573605452892768,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","GZMA","Snyder__Ureteral__PD-(L)1",-0.035,0.587,18,0.952349839708441,"Ureteral","PD-(L)1",0.994830668687221
"R vs NR","IL2RG","Snyder__Ureteral__PD-(L)1",-0.291,0.459,18,0.526310136995059,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","C9orf72","Snyder__Ureteral__PD-(L)1",-0.086,0.531,18,0.871082554830526,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","RILPL2","Snyder__Ureteral__PD-(L)1",0.159,0.452,18,0.725095904572953,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","ZFP36L2","Snyder__Ureteral__PD-(L)1",0.527,0.563,18,0.349365954351009,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","BANK1","Snyder__Ureteral__PD-(L)1",0.15,0.505,18,0.766598586946395,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","RANBP2","Snyder__Ureteral__PD-(L)1",-0.16,0.538,18,0.766400702891399,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","NR4A2","Snyder__Ureteral__PD-(L)1",0.706,0.598,18,0.238212414736224,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","CD8A","Snyder__Ureteral__PD-(L)1",-0.245,0.519,18,0.636956660259324,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","CHD1","Snyder__Ureteral__PD-(L)1",0.175,0.521,18,0.737421539767277,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","CXCL13","Snyder__Ureteral__PD-(L)1",0.094,0.561,18,0.867350392681569,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","MS4A1","Snyder__Ureteral__PD-(L)1",-0.222,0.569,18,0.696641830036051,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","CCR5","Snyder__Ureteral__PD-(L)1",-0.868,0.634,18,0.17118250151786,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","CCL5","Snyder__Ureteral__PD-(L)1",-0.003,0.471,18,0.994830668687221,"Ureteral","PD-(L)1",0.994830668687221
