"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","CXCL9","Gide__Melanoma__PD-(L)1",-1.817,0.61,38,0.00290385033073076,"Melanoma","PD-(L)1",0.036523883966419
"R vs NR","CD27","Gide__Melanoma__PD-(L)1",-1.253,0.455,38,0.00595130001357714,"Melanoma","PD-(L)1",0.036523883966419
"R vs NR","VPS37B","Gide__Melanoma__PD-(L)1",0.256,0.37,38,0.489260318782825,"Melanoma","PD-(L)1",0.588351016257828
"R vs NR","WDR45B","Gide__Melanoma__PD-(L)1",0.08,0.322,38,0.804208949549159,"Melanoma","PD-(L)1",0.85842528322663
"R vs NR","CALM2","Gide__Melanoma__PD-(L)1",-0.154,0.325,38,0.634326677110295,"Melanoma","PD-(L)1",0.726036558138289
"R vs NR","GZMA","Gide__Melanoma__PD-(L)1",-1.304,0.489,38,0.00768923872977243,"Melanoma","PD-(L)1",0.036523883966419
"R vs NR","IL2RG","Gide__Melanoma__PD-(L)1",-1.107,0.459,38,0.0159288460956141,"Melanoma","PD-(L)1",0.0579528553453089
"R vs NR","C9orf72","Gide__Melanoma__PD-(L)1",-0.265,0.348,38,0.446648678095743,"Melanoma","PD-(L)1",0.551060057390852
"R vs NR","RILPL2","Gide__Melanoma__PD-(L)1",-0.316,0.345,38,0.359197167222387,"Melanoma","PD-(L)1",0.467448368303106
"R vs NR","ZFP36L2","Gide__Melanoma__PD-(L)1",-0.266,0.344,38,0.438641543012552,"Melanoma","PD-(L)1",0.548301928765691
"R vs NR","BANK1","Gide__Melanoma__PD-(L)1",-0.721,0.393,38,0.0668497104034427,"Melanoma","PD-(L)1",0.150428519159678
"R vs NR","RANBP2","Gide__Melanoma__PD-(L)1",-0.982,0.568,38,0.0838637310787647,"Melanoma","PD-(L)1",0.170314047228507
"R vs NR","NR4A2","Gide__Melanoma__PD-(L)1",-0.204,0.327,38,0.533092316093474,"Melanoma","PD-(L)1",0.633047125361
"R vs NR","CD8A","Gide__Melanoma__PD-(L)1",-1.481,0.517,38,0.00421453648416263,"Melanoma","PD-(L)1",0.036523883966419
"R vs NR","CHD1","Gide__Melanoma__PD-(L)1",-0.459,0.372,38,0.2170785757054,"Melanoma","PD-(L)1",0.343707744866883
