"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","NFKBID","Mariathasan__Bladder__PD-(L)1",0.081,0.178,133,0.64937549898497,"Bladder","PD-(L)1",0.824603808234883
"R vs NR","CXCL10","Mariathasan__Bladder__PD-(L)1",-0.568,0.212,133,0.00732417479104718,"Bladder","PD-(L)1",0.370104854092283
"R vs NR","GPR183","Mariathasan__Bladder__PD-(L)1",0.014,0.185,133,0.940029558008126,"Bladder","PD-(L)1",0.954876634994677
"R vs NR","CMKLR1","Mariathasan__Bladder__PD-(L)1",-0.192,0.197,133,0.329560994146769,"Bladder","PD-(L)1",0.736103291107075
"R vs NR","TGIF1","Mariathasan__Bladder__PD-(L)1",-0.122,0.189,133,0.517410267152083,"Bladder","PD-(L)1",0.776711489444699
"R vs NR","PER1","Mariathasan__Bladder__PD-(L)1",0.102,0.182,133,0.57403202008517,"Bladder","PD-(L)1",0.776711489444699
"R vs NR","CIITA","Mariathasan__Bladder__PD-(L)1",-0.134,0.191,133,0.481991442307103,"Bladder","PD-(L)1",0.776711489444699
"R vs NR","PRF1","Mariathasan__Bladder__PD-(L)1",-0.275,0.197,133,0.162957514125575,"Bladder","PD-(L)1",0.6091444741454
"R vs NR","HLA.DRB1","Mariathasan__Bladder__PD-(L)1",-0.24,0.203,133,0.236096242298142,"Bladder","PD-(L)1",0.677103384649126
"R vs NR","TSC22D2","Mariathasan__Bladder__PD-(L)1",0.069,0.186,133,0.710137220029007,"Bladder","PD-(L)1",0.836086019638836
"R vs NR","ZNF165","Mariathasan__Bladder__PD-(L)1",-0.223,0.202,133,0.26961630985185,"Bladder","PD-(L)1",0.677103384649126
"R vs NR","PDCD1LG2","Mariathasan__Bladder__PD-(L)1",-0.256,0.199,133,0.198903194585949,"Bladder","PD-(L)1",0.66301064861983
"R vs NR","CD3E","Mariathasan__Bladder__PD-(L)1",-0.3,0.199,133,0.131236042910034,"Bladder","PD-(L)1",0.596052516446614
"R vs NR","HLA.DRA","Mariathasan__Bladder__PD-(L)1",-0.219,0.199,133,0.27084135385965,"Bladder","PD-(L)1",0.677103384649126
"R vs NR","HLA.E","Mariathasan__Bladder__PD-(L)1",-0.208,0.184,133,0.257095515323089,"Bladder","PD-(L)1",0.677103384649126
"R vs NR","PSMB10","Mariathasan__Bladder__PD-(L)1",-0.411,0.191,133,0.0312475954795844,"Bladder","PD-(L)1",0.370104854092283
"R vs NR","CCL5","Mariathasan__Bladder__PD-(L)1",-0.468,0.212,133,0.0271169977792484,"Bladder","PD-(L)1",0.370104854092283
